source_id,metric_id,entity,period,period_date,published_at,value,value_unit,change_pct,chain,dimension,source,source_url,knowledge_time_method
tpca_public_industry,pcb_revenue_yoy,Taiwan PCB industry,2024-09,2024-09-29 16:00:00+00:00,2024-10-16 15:59:59+00:00,4.19,percent,4.19,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26178,page_publication_date
tpca_public_industry,rigid_pcb_export_yoy,Taiwan PCB industry,2024-09,2024-09-29 16:00:00+00:00,2024-10-16 15:59:59+00:00,6.42,percent,6.42,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26180,page_publication_date
mops_abf_monthly_revenue,abf_company_revenue_yoy::3037.TW,欣興,2024-10,2024-10-30 16:00:00+00:00,2024-11-10 15:59:59+00:00,10479818.0,TWD thousand,19.23182425469998,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
mops_abf_monthly_revenue,abf_company_revenue_yoy::3189.TW,景碩,2024-10,2024-10-30 16:00:00+00:00,2024-11-10 15:59:59+00:00,2576678.0,TWD thousand,2.724595110064998,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
mops_abf_monthly_revenue,abf_company_revenue_yoy::8046.TW,南電,2024-10,2024-10-30 16:00:00+00:00,2024-11-10 15:59:59+00:00,2616078.0,TWD thousand,-27.33595038326644,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
tpca_public_industry,ccl_export_yoy,Taiwan PCB industry,2024-10,2024-10-30 16:00:00+00:00,2024-11-20 15:59:59+00:00,9.2,percent,9.2,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26331,page_publication_date
tpca_public_industry,ccl_import_yoy,Taiwan PCB industry,2024-10,2024-10-30 16:00:00+00:00,2024-11-20 15:59:59+00:00,-9.2,percent,-9.2,CCL,market_tightness,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26332,page_publication_date
tpca_public_industry,pcb_material_revenue_yoy,Taiwan PCB industry,2024-10,2024-10-30 16:00:00+00:00,2024-11-20 15:59:59+00:00,5.9,percent,5.9,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26333,page_publication_date
tpca_public_industry,pcb_revenue_yoy,Taiwan PCB industry,2024-10,2024-10-30 16:00:00+00:00,2024-11-12 15:59:59+00:00,-1.07,percent,-1.07,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26294,page_publication_date
tpca_public_industry,rigid_pcb_export_yoy,Taiwan PCB industry,2024-10,2024-10-30 16:00:00+00:00,2024-11-12 15:59:59+00:00,11.32,percent,11.32,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26296,page_publication_date
