metric_id,period,period_date,published_at,change_pct,chain,dimension,title,source_url,source,knowledge_time_method
pcb_material_revenue_yoy,2025-02,2025-02-28T00:00:00+08:00,2025-03-19T23:59:59+08:00,33.5,CCL,physical_throughput,2025年2月台灣上市櫃PCB原物料營收YoY 33.5%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26906,TPCA public industry chart,page_publication_date
pcb_revenue_yoy,2025-02,2025-02-28T00:00:00+08:00,2025-03-12T23:59:59+08:00,26.53,Networking,physical_throughput,2025年2月 PCB上市櫃營收 YoY26.53%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26875,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2025-02,2025-02-28T00:00:00+08:00,2025-03-10T23:59:59+08:00,21.62,Networking,physical_throughput,2025年2月台灣硬板出口YoY21.62%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26855,TPCA public industry chart,page_publication_date
ccl_export_yoy,2025-03,2025-03-31T00:00:00+08:00,2025-04-23T23:59:59+08:00,26.9,CCL,physical_throughput,2025年3月台灣CCL 出口YoY 26.9%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27106,TPCA public industry chart,page_publication_date
ccl_import_yoy,2025-03,2025-03-31T00:00:00+08:00,2025-04-23T23:59:59+08:00,18.6,CCL,market_tightness,2025年3月台灣CCL 進口YoY 18.6%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27105,TPCA public industry chart,page_publication_date
pcb_material_revenue_yoy,2025-03,2025-03-31T00:00:00+08:00,2025-04-23T23:59:59+08:00,12.0,CCL,physical_throughput,2025年3月台灣上市櫃PCB原物料營收YoY 12.0%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27107,TPCA public industry chart,page_publication_date
pcb_revenue_yoy,2025-03,2025-03-31T00:00:00+08:00,2025-04-17T23:59:59+08:00,17.33,Networking,physical_throughput,2025年3月 PCB上市櫃營收 YoY17.33%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27086,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2025-03,2025-03-31T00:00:00+08:00,2025-04-17T23:59:59+08:00,-0.98,Networking,physical_throughput,2025年3月台灣硬板出口YoY-0.98%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27088,TPCA public industry chart,page_publication_date
ccl_export_yoy,2025-04,2025-04-30T00:00:00+08:00,2025-05-19T23:59:59+08:00,27.2,CCL,physical_throughput,2025年4月台灣CCL 出口YoY 27.2%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27223,TPCA public industry chart,page_publication_date
ccl_import_yoy,2025-04,2025-04-30T00:00:00+08:00,2025-05-19T23:59:59+08:00,12.6,CCL,market_tightness,2025年4月台灣CCL 進口YoY 12.6%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=27222,TPCA public industry chart,page_publication_date
